period,reporterDesc,flowDesc,partnerDesc,isOriginalClassification,cmdCode,cmdDesc,qty,isAltQtyEstimated,netWgt,isNetWgtEstimated,cifvalue,fobvalue,primaryValue
2013,Viet Nam,Import,Australia,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,60286,TRUE,971185,,971185
2013,Viet Nam,Import,Austria,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,7603,TRUE,136899,,136899
2013,Viet Nam,Import,Belgium,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,11125,TRUE,157218,,157218
2013,Viet Nam,Import,Canada,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,4095,TRUE,69468,,69468
2013,Viet Nam,Import,China,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,10029340,TRUE,80348181,,80348181
2013,Viet Nam,Import,Czechia,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2457,TRUE,44064,,44064
2013,Viet Nam,Import,Denmark,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,35048,TRUE,435973,,435973
2013,Viet Nam,Import,Finland,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,6471,TRUE,108107,,108107
2013,Viet Nam,Import,France,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,456115,TRUE,4476889,,4476889
2013,Viet Nam,Import,Germany,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,125606,TRUE,1395720,,1395720
2013,Viet Nam,Import,Greece,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,9859,TRUE,93312,,93312
2013,Viet Nam,Import,"China, Hong Kong SAR",TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,9506,TRUE,87663,,87663
2013,Viet Nam,Import,Hungary,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,1493,TRUE,24522,,24522
2013,Viet Nam,Import,Indonesia,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,4194174,TRUE,25353258,,25353258
2013,Viet Nam,Import,Israel,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,3428,TRUE,22292,,22292
2013,Viet Nam,Import,Italy,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,295255,TRUE,3841554,,3841554
2013,Viet Nam,Import,Japan,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,811123,TRUE,5880411,,5880411
2013,Viet Nam,Import,Rep. of Korea,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,1515579,TRUE,14448403,,14448403
2013,Viet Nam,Import,Luxembourg,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,3678,TRUE,34807,,34807
2013,Viet Nam,Import,Malaysia,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,902761,TRUE,6481190,,6481190
2013,Viet Nam,Import,Malta,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,78,TRUE,1396,,1396
2013,Viet Nam,Import,Mexico,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2314,TRUE,41281,,41281
2013,Viet Nam,Import,"Other Asia, nes",TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,346649,TRUE,4670446,,4670446
2013,Viet Nam,Import,Netherlands,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,93800,TRUE,961142,,961142
2013,Viet Nam,Import,New Zealand,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2397,TRUE,11135,,11135
2013,Viet Nam,Import,Norway,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2987,TRUE,16990,,16990
2013,Viet Nam,Import,Philippines,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2129,TRUE,20154,,20154
2013,Viet Nam,Import,Poland,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,13109,TRUE,187195,,187195
2013,Viet Nam,Import,Portugal,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,5192,TRUE,48934,,48934
2013,Viet Nam,Import,Russian Federation,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,2796,TRUE,39000,,39000
2013,Viet Nam,Import,India,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,284058,TRUE,5071931,,5071931
2013,Viet Nam,Import,Singapore,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,86538,TRUE,777282,,777282
2013,Viet Nam,Import,Slovakia,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,306,TRUE,5492,,5492
2013,Viet Nam,Import,Spain,TRUE,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading no. 8415",,FALSE,200102,TRUE,3186922,,3186922
